ID,Text,Sentiment
1,b'This is your daily reminder that the #UnitedStates and #UnitedKingdom has #Promised to protect #Ukraine. See the #BudapestMemorandum.  Failure to do so is a failure of our #obligations and a signal to the world that without a #Nuclear weapon u are #vulnerable to conquest. #Russia',0
2,b'@phildstewart Apparently the #Russian Military is a comedy show. Let\xe2\x80\x99s fight them in #Ukraine and march our way to Moscow. Just as General Patton wanted to do.',0
3,"b""@SebGorka Each player in this game is doing EXACTLY what's in his best interest.  At least undeniably 'his' is correct pronoun #Ukraine #Russia.""",1
4,"b""#Energy attorney Andrew Melsheimer will speak at a @DallasBarAssoc hybrid event about the new #sanctions . He will share information for in-house counsel ",1
5,"b'1/3 #PandoraPapers : #Ukraine ranked first in the number of corrupt officials. #Zelenskyy , with accounts in #Belize , #Cyprus &amp; #BVI got $41 million from Oligarch #Kolomojskyj\n\nhttps://t.co/Cy1VBycKFO #Russia #war #Ukrainian #Oligarchs #CORRUPTION #kleptocrats #media #propaganda'",0
6,"b'Can you imagine, that an Ex KGB agent #Putin, a professional liar #Lawrow and a civil engineer #Schoigu can start and win a war against #Ukraine? No way! #Ukraine has left the eastern hemisphere just because of those incompetent cheaters. https://t.co/50y2XMyk1H'",0
7,b'The latest Snatchin up Souls Daily! https://t.co/L08na0en8m Thanks to @Drealstudmuffin @ArtemisSugarBby @3PennyMovies #ukraine #spiderman',1
8,"b'Roza Nurgozhayeva, a law professor at Nazarbayev University in #Kazakhstan, discusses the impact of Russia\xe2\x80\x99s invasion of #Ukraine on Kazakhstan and its relationship with #Russia in her latest @JURISTnews commentary. @NUedukz #UkraineRussianWar  https://t.co/2eveag4u17'",0
9,"b""Russia's Weaknesses in Ukraine\n\n#Ukraine #UkraineRussiaWar #UkraineWar #RussiaInvadedUkraine #Russia #Russian https://t.co/ktQTON94Eo""",1
10,b'\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91\xf0\x9f\x9b\x91Odessa regional governor says that at least 1 #Putin regime terrorists cruise missile was shot down over Odessa \n#Ukraine #Russia https://t.co/3JpsrT2WjH',0
11,"b""will join a panel on @alarabiya at 1: 30 PM EST to discuss #Trump's call to arm #Ukraine with advanced weapons against #Russia.""",1
12,b'@WSJ When you do not have any political baggage #history #Ukraine https://t.co/pupFhsAqLs',0
13,b'Pharmaceutical giant #Novartis restricts work in #Russia\n#StandWithUkraine \xf0\x9f\x87\xba\xf0\x9f\x87\xa6\nhttps://t.co/zAtwccTK7k',0
14,"b'\xe2\x80\x9cThe @EU_Commission is fully committed to support the people of #Ukraine and we are doing everything within our power to alleviate that human suffering and bring aid to those in need.\xe2\x80\x9d - Hans Das, EU Emergency Management Director.\n\n#EuropeanHumanitarianForum #StandWithUkraine https://t.co/fmggZ5Fboy'",1
15,"b""See, @gop Republicans! Real '#Patriots' defend their country. They don't attack their country or the Capitol just to appease a whiny baby named Donald Trump. You all can learn a thing or two from #Kyiv and #Ukraine! https://t.co/EK4jYPHmVH""",0
16,"b""I like true democracy. But when you all try to hide some oppression, you will see the consequences. Still #Rohingya Genocide in #Myanmar is not recognized by all western countries but they are racing to prove the #Russian Genocide in #Ukraine. It's one kind of Justice #Racism.""",0
